stock_code,company_name,main_theme,sub_theme,chain_position,market_cap,latest_price,pct_change_1m,pct_change_3m,pct_change_6m,turnover_value_20d_avg,relative_strength_vs_index,revenue_2024,revenue_2025,revenue_2026E,revenue_2027E,net_profit_2024,net_profit_2025,net_profit_2026E,net_profit_2027E,gross_margin_latest,net_margin_latest,pe_ttm,pe_2026E,pe_2027E,ps_ttm,peg_2026E,main_theme_revenue_exposure,order_or_customer_evidence,capacity_progress,product_stage,institution_forecast_change,catalysts,risks,data_source,source_date,source_url,confidence_level
300308,中际旭创,AI算力硬件,高速光模块,中游核心,15198.77亿元,1367.880,37.71%,123.88%,148.35%,344.21亿元,123.88% vs 26.86%,238.62,382.40,缺失,缺失,53.72,115.80,缺失,缺失,46.06%,32.40%,101.67,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300308.json; investment_system/data/raw/baostock/profit/2026-06-19/300308.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
300502,新易盛,AI算力硬件,高速光模块,中游核心,5779.97亿元,581.480,44.08%,71.01%,100.41%,217.29亿元,71.01% vs 26.86%,86.47,248.42,缺失,缺失,28.38,95.53,缺失,缺失,49.16%,33.27%,53.82,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300502.json; investment_system/data/raw/baostock/profit/2026-06-19/300502.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
300394,天孚通信,AI算力硬件,高速光模块,中游核心,2616.78亿元,336.600,40.04%,51.38%,137.28%,150.11亿元,51.38% vs 26.86%,32.32,51.63,缺失,缺失,13.43,20.18,缺失,缺失,56.60%,37.01%,120.49,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300394.json; investment_system/data/raw/baostock/profit/2026-06-19/300394.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
603083,剑桥科技,AI算力硬件,高速光模块,中游核心,756.58亿元,214.540,19.73%,86.48%,101.79%,59.93亿元,86.48% vs 26.86%,36.50,48.23,缺失,缺失,1.67,2.23,缺失,缺失,29.33%,7.55%,215.93,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/603083.json; investment_system/data/raw/baostock/profit/2026-06-19/603083.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
002281,光迅科技,AI算力硬件,高速光模块,中游核心,2147.37亿元,266.200,22.50%,220.41%,326.94%,128.55亿元,220.41% vs 26.86%,82.30,119.29,缺失,缺失,6.56,9.32,缺失,缺失,26.83%,8.38%,207.26,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/002281.json; investment_system/data/raw/baostock/profit/2026-06-19/002281.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
000988,华工科技,AI算力硬件,高速光模块,中游核心,1785.27亿元,177.550,15.51%,53.28%,145.36%,130.74亿元,53.28% vs 26.86%,117.09,143.55,缺失,缺失,12.03,14.54,缺失,缺失,19.81%,15.10%,105.06,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/000988.json; investment_system/data/raw/baostock/profit/2026-06-19/000988.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
300570,太辰光,AI算力硬件,高速光模块,中游核心,610.06亿元,268.600,80.85%,125.41%,141.59%,53.88亿元,125.41% vs 26.86%,13.78,15.47,缺失,缺失,2.70,3.08,缺失,缺失,37.80%,19.78%,213.78,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300570.json; investment_system/data/raw/baostock/profit/2026-06-19/300570.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
300548,博创科技,AI算力硬件,高速光模块,中游核心,822.21亿元,281.990,21.83%,92.97%,124.42%,48.94亿元,92.97% vs 26.86%,17.47,25.33,缺失,缺失,2.11,5.80,缺失,缺失,49.22%,31.84%,219.13,缺失,缺失,缺失,缺失,缺失；待核实800G/1.6T/海外CSP收入占比,缺失；待核实公告/投资者关系记录,缺失；待核实公告/定期报告,已有财务兑现迹象；细分产品阶段待公告核实,缺失,AI数据中心资本开支、高速率光模块迭代、海外CSP需求；待逐项证据化,主线收入暴露待核实；涨幅较大注意拥挤风险,Tencent direct (行情); BaoStock (财务),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300548.json; investment_system/data/raw/baostock/profit/2026-06-19/300548.json,中高：行情来自Tencent直连，财务来自BaoStock；主线收入暴露待核实
